1,"Eskom","Company"
2,"Baku-Tbilisi-Ceyhan Pipeline Company","Group"
3,"British Petroleum","Company"
4,"Unocal","Company"
5,"Government of Angola","Government"
6,"Government of Bolivia","Government"
7,"Government of Ghana","Government"
8,"Government of Madagascar","Government"
9,"Government of Mozambique","Government"
10,"Government of Nigeria","Government"
11,"Government of Sudan","Government"
12,"Government of Timor-Leste","Government"
13,"Government of Uganda","Government"
14,"Government of Afghanistan","Government"
15,"Government of Bangladesh","Government"
16,"Government of Cambodia","Government"
17,"Government of Ecuador","Government"
18,"Government of Iraq","Government"
19,"Government of the Ivory Coast","Government"
20,"Government of Kenya","Government"
21,"Government of LIbanon","Government"
22,"Government of Mauritania","Government"
23,"Government of Nicaragua","Government"
24,"Government of the the Palestinian Territory","Government"
25,"Government of São Tomé and Príncipe","Government"
26,"Government of South Africa","Government"
27,"Government of Tanzania","Government"
28,"Government of Vietnam","Government"
29,"Government of Zambia","Government"
30,"Government of Indonesia","Government"
31,"Government of Sri Lanka","Government"
32,"Government of Ethiopia","Government"
33,"Government of Liberia","Government"
34,"Government of Nepal","Government"
35,"Government of Botswana","Government"
36,"Government of Egypt","Government"
37,"Government of the Kyrgyz Republic","Government"
38,"Government of Kosovo","Government"
39,"Government of Palau","Government"
40,"Government of Jordan ","Government"
41,"Government of China","Government"
42,"Government of Turkey","Government"
43,"Government of Gabon","Government"
44,"Government of Peru","Government"
45,"Government of Romania","Government"
46,"Government of Cameroon","Government"
47,"Government of Rwanda","Government"
48,"Kribi Power Development Company","Company"
49,"Jubilee Ghana MV 21 B.V.","Company"
50,"Companias Asociadas Petroleras (CAPSA)","Company"
51,"Queiroz Galvão Group ","Group"
52,"Constellation Overseas, Ltd.","Company"
53,"Gas Natural de Lima y Callao S.A. (Calidda) ","Company"
54,"AES Dibamba Power Development Corporation ","Company"
55,"GeoPark Holdings Ltd","Company"
56,"ContourGlobal Togo S.A","Company"
57,"Borets International Ltd ","Company"
58,"Energy International","Company"
59,"Pan American Energy (PAE)","Company"
60,"Kuwait Energy Company KSCC","Company"
61,"Izmit Gaz Dagätäm Sanayi ve Ticaret A.S. (IZGAZ)","Company"
62,"Bankers Petroleum Ltd ","Company"
63,"Kosmos Energy","Company"
64,"Tullow Oil","Company"
65,"Palmet Enerji A.S.","Company"
66,"Salamander Energy plc","Company"
67,"Medanito S.A.","Company"
68,"TOPIC, S.A.","Company"
69,"Creative Energy Resources","Company"
70,"Storm Ventures International","Company"
71,"Geometric Power Ltd","Company"
72,"Cairn India Ltd","Company"
73,"Suez S.A.","Group"
74,"Emerald Energy Corp","Company"
75,"Salamander Energy plc","Company"
76,"Coastal Gujarat Power Limited","Company"
77,"Suez Energy Andino","Company"
78,"Enerjisa Enerji Uretim A.S.","Company"
79,"Roch S.A.","Company"
80,"Peru LNG S.R.L.","Company"
81,"Punj Lloyd Limited","Company"
82,"Vostok Energy Limited","Company"
83,"Masinloc Power Partners Co Ltd","Company"
84,"Schahin Group","Group"
85,"Far East Energy Corporation","Company"
86,"Maple Energy plc","Company"
87,"Queiroz Galvao Oleo e Gas S.A.","Company"
88,"PT Adaro Energy","Company"
89,"Melrose Resources plc","Company"
90,"Lanco Amarkantak Power Private Ltd","Company"
91,"Petronet LNG Ltd","Company"
92,"Engro Energy (Pvt) Limited","Company"
93,"Gujarat State Petronet Ltd","Company"
94,"Cairn Energy PLC","Company"
95,"IPR Group of Companies","Group"
96,"MB Holding Company LLC","Company"
97,"Toreador Resources Corporation","Company"
98,"BPZ Energy, Inc.","Company"
99,"Melrose Resources plc.","Company"
100,"Kappa Resources Colombia Limited","Company"
101,"Dewan Petroleum Pvt. Ltd.","Company"
102,"Rally Energy Corp.","Company"
103,"The Red Med Group","Group"
104,"Petrotesting Holding Limited","Company"
105,"Soco International PLC","Company"
106,"Vaalco Gabon (Etame), Inc.","Company"
107,"Afren Plc","Company"
108,"Republic of Mozambique Pipeline Investment Company","Company"
