1,"Agency for International Development","AusAID","Bilateral",7,0,NULL,"Australia"
2,"Export Finance and Insurance Corporation","EFIC","Export Credit",7,0,NULL,"Australia"
3,"Austria Wirtschaftsservice","AWS","Bilateral",1,0,NULL,"Austria"
4,"Austrian Development Cooperation","ADC","Bilateral",1,0,NULL,"Austria"
5,"Oesterreichische Kontrollbank AG","OeKB","Export Credit",1,0,NULL,"Austria"
6,"Belgian Development Agency","BTC","Bilateral",1,0,NULL,"Belgium"
7,"Directorate General for Cooperation and Development","DGCD","Bilateral",1,0,NULL,"Belgium"
8,"Ducroire National Office","OND","Export Credit",1,0,NULL,"Belgium"
9,"Ministry of Foreign Affairs, Foreign Trade and Development: Belgian Policy Plan for Development Cooperation","","Bilateral",1,0,NULL,"Belgium"
10,"Agência Brasileira de Cooperação ","ABC","Bilateral",1,0,NULL,"Brazil"
11,"Brazilian Development Bank","BNDES ","Export Credit",1,0,NULL,"Brazil"
12,"International Development Research Centre","IDRC","Bilateral",1,0,NULL,"Brazil"
13,"Seguradora Brasileira Crédito à Exportação","SBCE","Export Credit",1,0,NULL,"Brazil"
14,"Canadian International Development Agency","CIDA","Bilateral",4,0,NULL,"Canada"
15,"Export Development Canada","EDC","Export Credit",1,0,NULL,"Canada"
16,"China Export & Credit Insurance Corporation","Sinosure","Export Credit",1,0,NULL,"China"
17,"Ministry of Commerce","MOFCOM","Bilateral",1,0,NULL,"China"
18,"The China Export and Import Bank","Chexim","Export Credit",1,0,NULL,"China"
19,"Danish Internaitonal Development Agency","DANIDA","Bilateral",1,0,NULL,"Denmark"
20,"Eksport Kredit Fonden","EKF","Export Credit",1,0,NULL,"Denmark"
21,"European Commission","EC","Multilateral",1,0,NULL,"European Union"
22,"European Investment Bank","EIB","Multilateral",1,0,NULL,"European Union"
23,"Department for International Development Cooperation","","Bilateral",1,0,NULL,"Finland"
24,"Finish Ministry for Foreign Affairs","FMFA","Bilateral",1,0,NULL,"Finland"
25,"Finnfund","","Bilateral",1,0,NULL,"Finland"
26,"Finnish Export Credit Ltd","FEC","Export Credit",1,0,"Subsidiary of Finnvera ","Finland"
27,"Finnvera Oyj","","Export Credit",1,0,NULL,"Finland"
28,"Agence Francaise de Developpement","AFD","Bilateral",1,0,NULL,"France"
29,"COFACE","","Export Credit",1,0,NULL,"France"
30,"Department for International Cooperation","","Bilateral",1,0,NULL,"France"
31,"Direction des Relations Economiques Extérieures (Ministère de l'Economie)","DREE","Export Credit",1,0,NULL,"France"
32,"Natexis Baque Populair","Natixis","Bilateral",1,0,NULL,"France"
33,"AuslandsGeschäftsAbsicherung der Bundesrepublik Deutschland","","Export Credit",1,0,NULL,"Germany"
34,"Bundesministerium fur wirtschaftliche Zusammenarbeit und Entwicklung","","Bilateral",1,0,NULL,"Germany"
35,"Deutsche Gesellschaft für Internationale Zusammenarbeit","GIZ","Bilateral",1,0,NULL,"Germany"
36,"Federal Government","FG","Bilateral",1,0,NULL,"Germany"
37,"Hermes Kreditversicherungs-AG","Hermes","Export Credit",1,0,"Refered to as Euler Hermes (Group)","Germany"
38,"Kreditanstalt fur Wiederaufbau","KfW","Bilateral",1,0,NULL,"Germany"
39,"Export Credit Insurance Organisation","ECIO","Export Credit",0,0,"Greek for me, do not know fiscal year. Assuming it is January, but can not verify it.","Greece"
40,"Ministry of Foreign Affairs","MOFA","Bilateral",1,0,NULL,"Greece"
41,"Hong Kong Export Credit Insurance Corporation","HKEC","Export Credit",4,0,"Is this going to be a part of the database? Include Hong Kong in PRC?","Hong Kong, China"
42,"Export Credit Guarantee Corporation of India","ECGC","Export Credit",4,0,NULL,"India"
43,"Export-Import Bank of India ","","Export Credit",4,0,NULL,"India"
44,"Asuransi Ekspor Indonesia","ASEI","Export Credit",1,0,NULL,"Indonesia"
45,"Italian Central Administration","ITCA","Bilateral",1,0,NULL,"Italy"
46,"Servizi Assicurativi del Commercio Estero","SACE","Export Credit",1,0,NULL,"Italy"
47,"Ministry of Foreign Affairs","","Bilateral",1,0,NULL,"Italy"
