1,"Institutional Cooperation Programme on Petroleum Sector Development, Phase II","Angola","The objective is to promote improved management of national petroleum resources as one of the tools for sustainable economic and social development in Angola. This includes improving the capability to exercise regulatory control and to develop policies and strategies ensuring better administration of the Angolan petroleum resources. NOK 27,000,000. Norwegian Agency for International Development's Oil for Development program (100%). Cooperating institution in Angola is the Ministry of Petroleum (MINPET). Project period 2008 - 2010.","For all Norad projects: Project numbers are not listed in the Annual Reports or on the project web sites. Need to do find these. Will be doing if after listing them because it will be more efficient.","","","Oil and gas"
2,"Capacity building for the Bolivian Ministry of Hydrocarbons and Energy","Bolivia","The objective is to build capacity for the MHE and other parts of the Bolivian petroleum sector. NOK 16,000,000. Norwegian Agency for International Development's Oil for Development program (100%). Cooperating institutions in Bolivia are the Ministry of Hydrocarbons and Energy (MHE) and Yacimientos Petroliferos Fiscales Bolivianos (YPBF). Project period 2008 – 2012.","","","","Oil and gas"
3,"Short- and long-term institutional cooperation","Ghana","The objectives are short-term cooperation to provide assistance in ongoing governance activities related to the Jubilee field development and long-term cooperation to provide assistance in competence and capacity building within resource management, revenue management and environmental management. NOK 14,500,000. Norwegian Agency for International Development's Oil for Development program (100%). Cooperating institutions in Ghana are the Ministry of Energy (MOE), the Ministry of Environment, Science and Technology (MOEST), Ghana National Petroleum Corporation (GNPC), and the Environmental Protection Agency (EPA).  Project period 2010 – 2013/ 15.","","","","Oil and gas"
4,"Management of oil and gas in Madagascar","Madagascar","The objective is to enable Madagascar to utilize its petroleum resources to generate economic growth and welfare for the population in general in an environmentally sustainable manner. NOK 36,100,000. Norwegian Agency for International Development's Oil for Development program (100%). Cooperating institutions in Madagascar are the Office of National Mines and Strategic Industries (OMNIS), the Malagasy Ministry of Finance and Budget (MF B), and the National Office for the Environment in Madagascar (ONE). Project period 2007 – 2011. Project frozen in March 2009 due to the political situation.","","","","Oil and gas"
5,"Institutional support","Mozambique","The objective is to strengthen the administration of petroleum resources to enhance economic development and welfare in Mozambique. NOK 41,000,000. Norwegian Agency for International Development's Oil for Development program (100%). Cooperating institution in Mozambique is the National Petroleum Institute (INP). Project period 2006 – 2010.","","","","Oil and gas"
6,"Institutional cooperation, Nigeria","Nigeria","The objective of the institutional cooperation was to establish a base for transfer of knowledge and experience between Norwegian petroleum authorities and the petroleum authorities of Nigeria. The program covered petroleum policy and methodology for administration and technology. Norwegian Agency for International Development's Oil for Development program (NOK 15,000,000), Government of Nigeria (USD 300,000). Cooperation institution in Nigeria is Department of Petroleum Resources (DPR). Project period 2003 – 2007, extended to December 2009.","Not able to do percentages of donors to project because of different currencies","","","Oil and gas"
7,"Oil for Development - Sudan","Sudan","The objective is to contribute to implementation of the Comprehensive Peace Agreement (CPA), with main focus on wealth sharing, technical assistance, and capacity building. A separate capacity building programme has started with GoSS. NOK 24,000,000. Norwegian Agency for International Development's Oil for Development program (100%). Cooperation institutions in Sudan are Government of National Unity (GoNU ) and Government of Southern Sudan (GoSS). Project period 2006 onwards. ","","","","Oil and gas"
8,"Assistance in developing the management of the petroleum sector in Timor-Leste, phase II","Timor-Leste","The goal of the project is to assist the Government of Timor-Leste in managing its petroleum activities in such a way that the petroleum sector delivers the greatest possible benefit to the people of Timor-Leste. The purpose is to increase competence and capacity of the authorities of Timor-Leste so that the public sector can manage all petroleum activities, in particular within technical, legal, health, safety and environment (HSE) compliance, and in revenue management. NOK 67,200,000. Norwegian Agency for International Development's Oil for Development program (100%). Cooperation institutions in Timor-Leste are Timor-Leste State Secretariat for Natural Resources (SERN), Timor-Leste Ministry of Finance (MoF), Timor-Leste State Secretariat for the Environment (SEMA). Project period 2008 – 2013.","","","","Oil and gas"
9,"Strengthening the Management of the Oil and Gas Sector in Uganda","Uganda","The objectives are to contribute to the achievement of the National Oil and Gas Policy’s goal to use the country’s oil and gas resources to contribute to early achievement of poverty eradication and create lasting value to society. The purpose is to strengthen the institutional arrangements and have capacities in place ensuring well-coordinated and result oriented resource management, revenue management, environmental management and Health, Safety and Environment (HSE) management in the oil and gas sector. NOK 80,000,000. Norwegian Agency for International Development's Oil for Development program (100%). Cooperation institutions in Uganda are the Ministry of Energy and Mineral Development (MEMD), the Ministry of Finance, Planning and Economic Development (MFPED), and the Ministry of Water and Environment (MWE). Project period 2009 – 2014.","Norad has more Uganda projects","","","Oil and gas"
10,"Institutional capacity building program and expert assistance on legal framework, fiscal terms, environmental management, and support to the Ministry of Mines for international tendering of oil and gas blocks","Afghanistan","The overall goal is to improve Afghanistan’s capability to exercise regulatory control and to develop policies and strategies for a better administration of the country’s petroleum resources. More specific objectives include a capacity-building program based on seminars, training programs and mentoring; establishing a team of experts to support the program; ensuring that the recommendations of the environmental and social impact assessment (ESIA) are implemented; and facilitating transparency through good resource management in accordance with the Extractive Industries Transparency Initiative (EITI). More than NOK 15,000,000. Norwegian Agency for International Development's Oil for Development program (100%). Cooperating with Ministry of Mines of the Islamic Republic of Afghanistan (MoM). Project period 2007 – 2009.","","","","Oil and gas"
11,"Asian Development Bank (ADB) Bangladesh Gas Transmission Development Project, Institutional Strengthening of Hydrocarbon Unit (HCU)","Bangladesh","The objective is to strengthen the HCU to become a full-fledged functioning, permanent body in the Ministry, authorized to implement government policies and regulations for upstream activities in the petroleum sector and to promote and supervise private sector activities in the petroleum sector. The objective of establishing the HCU was to split the responsibilities for commercial and regulatory governmental functions. Both functions have previously been the responsibility of the national oil company Petrobangla. USD 413,000,000.00. Norwegian Agency for International Development's Oil for Development program (1,2%).  Cooperating with Hydrocarbon Unit (HCU) under Energy and Mineral Resources Division (EMRD), and the Ministry of Power, Energy and Mineral Resources (MOEMR). Project period 2006 – 2011.","","","","Oil and gas"
12,"Development of Cambodia's oil and gas industry","Cambodia","The objective is to strengthen Cambodia’s ability to manage the exploration and production of its petroleum resources by improving the CNPA’s ability to write and maintain the legal framework for its upstream and downstream petroleum industry, carry out bilateral negotiations and establish a legal framework for utilization of petroleum resources in overlapping claims areas, negotiate petroleum licenses with oil companies, and promote Cambodia’s petroleum resources by maintaining a competitive licensing system and a model petroleum contract. USD 12,300,000.00. Norwegian Agency for International Development's Oil for Development program (71,5%), UNDP (28,5%). Cooperating with the Cambodian National Petroleum Authority (CNP A). Project period 2006 – 2008 (Norwegian Petroleum Directorate), 2007 – 2009 (UNEP).","","","","Oil and gas"
13,"Petroleum assistance to Ecuador","Ecuador","The objective is to assist the relevant institutions in their management of the petroleum sector. Total budget is under development. Norwegian Agency for International Development's Oil for Development program. Cooperating with various ministries in Ecuador and PetroEcuador. Project period 2007 – 2010.","Not much information to access. It is not listed as one of Norads' core projects. Therefore, I assume that they parter up with other agencies and/ or institutions abroad.","","","Oil and gas"
14,"Institutional and technical assistance","Iraq","The objective is to provide institutional and technical governance assistance within the upstream and downstream petroleum sectors. Norwegian Agency for International Development's Oil for Development program, and others. Cooperating with the Ministry of Oil (MoO) in Iraq. Project period 2005 – 2009.","","","","Oil and gas"
15,"Institutional and technical assistance, renewed","Iraq","The objective is to provide institutional and technical governance assistance within the upstream and downstream petroleum sectors. Norwegian Agency for International Development's Oil for Development program, and others. Iraq's government is also contributing. Cooperating with the Ministry of Oil (MoO) in Iraq. Project period 2010 – 2003. Renewed from the 2005 – 2009 period.","","","","Oil and gas"
16,"Institutional cooperation, the Ivory Coast","The Ivory Coast","The objective is to provide assistance in competence and capacity building within resource and environmental management. NOK 2,700,000. Norwegian Agency for International Development's Oil for Development program. Cooperating with the Ministry of Mines and Energy and the Ministry of Environment. Project period 2008 – 2010.","","","","Oil and gas"
17,"Short-term assistance to Kenyan petroleum authorities","Kenya","The objective is to transfer of geological and geophysical (G&G) data to a modern data format. NOK 2,000,000. Norwegian Agency for International Development's Oil for Development program. Cooperating with the National Oil Corporation of Kenya (NOCK). Project period 2008 – 2009, extended to 2010.","","","","Oil and gas"
18,"Oil for Development, Lebanon 2007 - 2011","Lebanon","The objective is to assist the authorities of Lebanon to establish capacity for petroleum sector management, establish a legal framework and to plan and prepare for a licensing round. NOK 13,500,000. Norwegian Agency for International Development's Oil for Development program. Cooperating with the Presidency of the Council of Ministers and the Ministry of Energy and Water. Project period 2007 - 2011.","","","","Oil and gas"
19,"Environmental capacity building","Mauritania","The objective is determination of social and environmental impacts from the development of petroleum operations, and evaluation of the magnitude of these impacts caused by to the growth in exploration and production of hydrocarbons, particularly in offshore areas. Norwegian Agency for International Development's Oil for Development program, World Bank. Project period 2007 – 2009.","Channelling funding through the World Bank's Petroleum Governance Initiative. Total budget?","","","Oil and gas"
20,"Assistance to the petroleum sector, phase IV","Nicaragua","The objective is to contribute to economic and social development and poverty reduction by identifying and developing new areas for utilization of the country’s natural resources. Secure an environmentally sound exploration and possible exploitation of petroleum resources by creating government level capacities. NOK 2,250,000. Norwegian Agency for International Development's Oil for Development program. Cooperating with the Ministry of Energy and Mines (MEM ).  Project period 2008 – 2009. ","","","","Oil and gas"
21,"Capacity building, Palestine 2007–2009","The Palestinian Territory","The objective is to assist the authorities of the Palestinian Territory in establishing capacity for petroleum sector management, in particular with regard to development of the 'Gaza Marine” project. NOK 1,500,000. Norwegian Agency for International Development's Oil for Development program. Cooperating with the Palestinian Energy Authority (PEA). Project period 2007 – 2009.","","","","Oil and gas"
22,"Short-term institutional cooperation, coordinated with support from the World Bank and other donors","São Tomé and Príncipe","The assistance addresses urgent issues, most of which are currently handled through the World Bank Technical Assistance and Capacity Building Project. The issues discussed are draft legislation, regulations, the model contract, and strategic papers or governance processes. Some issues are supplementary to the World Bank assistance. Norwegian Agency for International Development's Oil for Development program, partially the World Bank. Cooperating with the National Petroleum Agency (ANP ) and the Ministry of Natural Resources and Environment. Project period 2008 – 2009.","Not clear on how much that is part of the World Bank project and how much the total budget is. Only know that Norway contributes NOK 2,250,000. Needs further research","","","Oil and gas"
23,"The South African petroleum sector policy and capacity building project, NPD ‑ PASA sub-program","South Africa","The objective is to develop a dynamic and perpetual integrated energy plan and associated human capacity to promote reliable and consistent supply of liquid fuels to consumers. The objectives of the NPD‑PASA sub-program are to transform the core functions of the Petroleum Agency under the Mineral and Petroleum Resources Development Act, to develop capacity to implement resource evaluation technologies for routine, on-going evaluation of South Africa’s petroleum resources, and to assure an effective extended continental shelf claim. NOK 3,500,000. Norwegian Agency for International Development's Oil for Development program. Cooperating with the Department of Minerals and Energy (DME) and Petroleum Agency South Africa (PASA). Project period 2007 - 2009.","","","","Oil and gas"
24,"Support to the Petroleum Data Archive for Tanzania operated by the Tanzania Petroleum Development Corporation","Tanzania","The objective is to increase social and economic growth in Tanzania through efficient and sustainable exploration and exploitation of petroleum resources. Enhance the quality and capacity of the National Archive of Petroleum Data in the TP DC to transcribe, store and manage all relevant petroleum data needed by the upstream petroleum industry to operate efficiently in Tanzania. NOK 1,940,000. Norwegian Agency for International Development's Oil for Development program. Cooperating with the Tanzania Petroleum Development Corporation (TPDC). Cooperating with Tanzania Petroleum Development Corporation (TPDC). Project period 2005 - 2009.","","","","Oil and gas"
25,"Development of management systems on health, safety and environment in the Vietnamese petroleum industry, phase III","Vietnam","The objective is to establish a sustainable and efficient management of health, safety and environment in the Vietnamese oil and gas industry, to minimize risk of personnel injury, major accidents and environmental damage. Phase III aims at successful implementation of the Safety Managemen Regulation and accompanying guidelines; at enabling Petrovietnam to further develop, implement and continuously improve Health, Safety and Environmental (HSE) management systems after the end of the project period; and at enabling Petrovietnam employees to continuously build health, safety and environmental competence after the end of the project period. NOK 7,600,000. Norwegian Agency for International Development's Oil for Development program. Cooperating with Petrovietnam (PV). Project period 2008 – 2011.","Norad has more Vietnam projects","","","Oil and gas"
26,"A comprehensive programme for the development of potential petroleum resources in Zambia","Zambia","The objective is to increase the understanding, capacity and competence of the petroleum potential and development within ministries and other state institutions in Zambia. Support Zambian authorities and enable them to conduct a strategic environmental assessment (SEA) before opening areas for petroleum activity and to clarify responsibilities between ministries and departments. A main objective of the program has been to contribute to a good decision making process focusing on how petroleum development can take place without harming the environment. NOK 6,300,000. Norwegian Agency for International Development's Oil for Development program. Cooperating with the Ministry of Mines and Minerals Development, the Geological Survey Department (GSD), Environmental Council (ECZ), and the Royal Norwegian Embassy in Zambia. Project period 2006 – 2009. Extended to 2010.","","","","Oil and gas"
27,"Strengthening the State Petroleum Administration of the upstream sector in Uganda","Uganda","The main goal is to ensure that possible petroleum resources are managed in a way that contributes to sustainable development of the national economy and welfare for the people of Uganda. The objective is to strengthen the administrative functions for policy, legislative and institutional framework based on experiences from Norway and other petroleum development areas with challenges similar to those in Uganda. The program is also responsible for strengthening the planning and regulatory functions in the Petroleum Exploration and Production Department (PEPD) and to study the conditions necessary for commercial development of oil and gas in Uganda. NOK 19,600,000. Norwegian Agency for International Development's Oil for Development program. Cooperating with the Ministry of Energy and Mineral Development (MEMD) and the Petroleum Exploration and Production Department (PEPD). Project period 2006 – 2008. Extended to 2009.","Norad has more Uganda projects","","","Oil and gas"
28,"Vietnam Total Resource Assessment, phase II (VITRA II)","Vietnam","The objective is to ensure that the Vietnamese Authorities dealing with the management of energy resources have a comprehensive knowledge of the total petroleum resources of the country and that they use this knowledge at management/policy level for overall strategic planning for the further development of the energy sector. NOK 9,000,000. Norwegian Agency for International Development's Oil for Development program. Cooperating with Petrovietnam (PV). Project period 2002 – 2008. ","Norad has more Vietnam projects","","","Oil and gas"
29,"Assistance in developing petroleum sector management in Timor-Leste, phase I","Timor-Leste","The goal of the project is to assist in developing petroleum sector management in Timor-Leste, to enable the public sector petroleum administration to manage the upstream petroleum activity without use of foreign advisors. This is done by institutional cooperation between the NPD and the SSNR and associated institutions in Timor-Leste performing petroleum sector management functions. The goal is that the Norwegian experience of developing a public sector petroleum administration could benefit Timor-Leste, and that Norwegian and international expertise could be utilized in developing a well-functioning petroleum administration and help Timor-Leste manage its own petroleum resources for the benefit of both current and future generations. NOK 44,500,000. Norwegian Agency for International Development's Oil for Development program. Cooperating with the State Secretariat for Natural Resources (SSNR), which replaced the Ministry of Natural Resources, Minerals and Energy Policy (MNRMEP) in September 2007. Project period 2003 – 2009. ","","","","Oil and gas"
30,"Institutional and industrial cooperation","Indonesia","Norway will contribute to the strengthening of Indonesia’s petroleum industry. This will be based on an approach consisting of institutional cooperation, capacity strengthening, technology transfer and small-scale support to develop local industry based on petroleum activities. A detailed strategy based on existing Norwegian technology will be developed to support the development of technology tailor-made for Indonesia’s deep water and environment. NOK 1,000,000. Norwegian Agency for International Development's Oil for Development program. Cooperating with the Ministry of Energy in Indonesia, BPMigas and Pertamina. Project period 2007 – 2008.","","","","Oil and gas"
31,"The Delimitation of the Outer Edge of the Continental Margin of Sri Lanka under the United Nations Convention on the Law of the Sea (UNcLOS)","Sri Lanka","The objective is to conduct a seabed survey and acquire seismic and other geographical data pertaining to the continental margin enabling Sri Lanka to submit documentation to the United Nations commission on the limits of the continental shelf. NOK 37,000,000.Norwegian Agency for International Development's Oil for Development program. Cooperating with the Ministry of Fisheries and Aquatic Resources (MF&AR). High Level Task Force appointed by the Government to manage and execute the project which is located at National Aquatic Resources Research and Development Agency (NARA). Project period 2004 – 2008. ","","","","Oil and gas"
32,"Development of Management Systems on Safety and Pollution control in the Vietnamese Petroleum Industry ","Vietnam","The objective is a sustained process of further development of health, safety and environment management is established in the Vietnamese oil and gas industry to avoid major accidents and environmental damage. NOK 9,375,000. Norwegian Agency for International Development's Oil for Development program. Cooperating with PetroVietnam (PV). Project period 2001 – 2005. ","","","","Oil and gas"
33,"Feasibility studies for the Beko-Abo and Mandaya","Ethiopia","The objectives of the feasibility studies are to enable the Ethiopian government to make informed decisions on future multipurpose development as well as to enable the region to prioritize future developments on the Blue Nile. NOK 141,300,000. Norwegian Agency for International Development’s Clean Energy for Development program (100%). Cooperating with the Ministry of Finance and Economic Development in Ethiopia (NOK 135,300,000) and Eastern Nile Technical Regional Office (NOK 6,000,000). Project period 2009 – 2012. ","Need to use some time to find which sector to put the CEfD projects in. Annual Report is not specific. The same applies for those under.",NULL,NULL,NULL
