1,"Oil and gas","Fossil Fuel"
2,"Coal","Fossil Fuel"
3,"Petrochemicals","Fossil Fuel"
4,"Supply-side energy efficiency","Clean"
5,"End use energy efficiency","Clean"
6,"Wind","Clean"
7,"Solar","Clean"
8,"Geothermal","Clean"
9,"Small hydro (less than 10 MW)","Clean"
10,"Large hydropower (over 10 MW)","Other"
11,"Nuclear","Other"
12,"Biomass","Clean"
13,"Transmission and distribution - Clean","Clean"
14,"Transmission and distribution - Fossil Fuel","Fossil Fuel"
15,"Coal bed methane","Other"
16,"Gas Flaring","Other"
17,"Charcoal","Other"
18,"Policy Loan - Clean","Clean"
19,"Policy Loan - Fossil Fuel","Fossil Fuel"
20,"Policy Loan - Other","Other"
21,"Transmission and distribution - Other","Other"
22,"Clean cook fuels","Clean"
23,"Natural Gas","Fossil Fuel"
24,"Oil","Fossil Fuel"
25,"Financing - Clean","Clean"
