1,"214372025.00","","USD","January 1, 2005","African Development Bank","","El Kureimat Cc Power Plant Project","Loan","1","afdb.org"
2,"100000000.00","","USD","December 22, 2008","African Development Bank","","Ain Sokhna Thermal Power Project","Loan","1","afdb.org"
3,"196839393.00","","USD","October 28, 2009","African Development Bank","","Morupule B Power Project ","Loan","","afdb.org"
4,"2597076791.15","","USD","November 25, 2009","African Development Bank","","Medupi Power Project ","Loan","","afdb.org"
5,"1500000.00","","USD","December 15, 2008","Asian Development Bank","ExxonMobil consortium","PNG Gas Project","","1","adb.org"
6,"10000000.00","","USD","September 21, 2009","Asian Development Bank","","Talimarjan Power Project (formerly CASAREM-Talimarjan Energy Development Project)","Loan","","adb.org"
7,"8000000.00","","USD","March 25, 2010","Asian Development Bank","","Sungas LPG Distribution Network","Equity","1","adb.org"
8,"232320000.00","","USD","June 22, 2010","Asian Development Bank","","Janub Thermal Power Plant ","Loan","","adb.org"
9,"200000000.00","","","August 2, 2007","International Bank for Reconstruction and Development","Government of Ukraine","Power Transmission Project of Ukraine","Loan","1","http://web.worldbank.org/external/projects/main?pagePK=64283627&piPK=73230&theSitePK=40941&menuPK=228424&Projectid=P096207"
10,"57000000.00","","","December 20, 2007","International Bank for Reconstruction and Development","Government of Ukraine","Second Development Policy Loan (DPL-II)","Loan","1","http://web.worldbank.org/external/projects/main?pagePK=64283627&piPK=73230&theSitePK=40941&menuPK=228424&Projectid=P096389"
11,"5730000.00","","","May 27, 2008","International Bank for Reconstruction and Development","Government of China","Liaoning Third Medium Cities Infrastructure","Loan","1","http://web.worldbank.org/external/projects/main?Projectid=P099224&theSitePK=40941&piPK=64290415&pagePK=64283627&menuPK=64282134&Type=Overview"
12,"80000000.00","","","June 11, 2009","International Bank for Reconstruction and Development","Government of Turkey","Programmatic Electricity Development Loan Program","Loan","1","http://web.worldbank.org/external/projects/main?Projectid=P110643&theSitePK=40941&piPK=64290415&pagePK=64283627&menuPK=64282134&Type=Overview"
13,"1000000000.00","","","September 22, 2009","International Bank for Reconstruction and Development","Government of India","Fifth Power System Development Project","Loan","1","http://web.worldbank.org/external/projects/main?Projectid=P115566&theSitePK=40941&piPK=64290415&pagePK=64283627&menuPK=64282134&Type=Overview"
14,"140000000.00","","","June 15, 2010","International Bank for Reconstruction and Development","Government of Turkey","Environmental Sustainability and Energy Sector Development Policy Loan (ESES DPL2) [oil and gas]","Loan","1","http://web.worldbank.org/external/projects/main?Projectid=P117651&theSitePK=40941&piPK=64290415&pagePK=64283627&menuPK=64282134&Type=Overview"
15,"70000000.00","","","June 15, 2010","International Bank for Reconstruction and Development","Government of Egypt","Wind Power Development Project","Loan","1","http://web.worldbank.org/external/projects/main?Projectid=P113416&theSitePK=40941&piPK=64290415&pagePK=64283627&menuPK=64282134&Type=Overview"
16,"70000000.00","","","June 15, 2010","International Bank for Reconstruction and Development","Government of Turkey","Environmental Sustainability and Energy Sector (ESES) DPL2 [energy efficiency]","Loan","1","http://web.worldbank.org/external/projects/main?Projectid=P117651&theSitePK=40941&piPK=64290415&pagePK=64283627&menuPK=64282134&Type=Overview"
17,"84000000.00","","USD","January 27, 2005","International Bank for Reconstruction and Development and International Development Association","Government of Romania","Energy Community of South East Europe Project (ECSEE APL #1)","Loan","1","Annual Report 2005"
18,"25000000.00","","USD","January 27, 2005","International Bank for Reconstruction and Development and International Development Association","Government of Rwanda","Urgent Electricity Rehabilitation","Loan","1","Annual Report 2005"
19,"40000000.00","","USD","April 28, 2005","International Bank for Reconstruction and Development and International Development Association","Government of Peru","PE (CRL) GuaranteeFacility","Guarantee","1","Annual Report 2005"
20,"70000000.00","","USD","July 1, 2005","International Bank for Reconstruction and Development and International Development Association","Government of Nigeria","Nigeria National Energy Development Project","Loan","1","Annual Report 2005"
21,"3800000.00","","USD","November 15, 2005","International Bank for Reconstruction and Development and International Development Association","Government of Gabon","Natural Resources Management Development Policy Loan","Loan","1","Annual Report 2005"
22,"325000000.00","","USD","November 25, 2005","International Bank for Reconstruction and Development and International Development Association","Government of Turkey","Gas Sector Development","Loan","1","Annual Report 2005"
23,"80000000.00","","USD","December 13, 2005","International Bank for Reconstruction and Development and International Development Association","Government of Indonesia","ID-Domestic Gas Market Development Project","Loan","1","Annual Report 2005"
24,"259600000.00","","USD","February 16, 2006","International Bank for Reconstruction and Development and International Development Association","Government of Egypt","Eg-El Tebbin Power","Loan","1","Annual Report 2006  "
25,"2250000.00","","USD","June 29, 2006","International Bank for Reconstruction and Development and International Development Association","Government of China","Nanjing Steel Convertor Gas Recovery Project","Grant","1","Annual Report 2006  "
26,"5000000.00","","USD","July 6, 2006","International Bank for Reconstruction and Development and International Development Association","Government of Mauritania","2nd Mining Sector Cap.Building Supplemental","Loan","1","Annual Report 2006  "
27,"10500000.00","","USD","October 12, 2006","International Bank for Reconstruction and Development and International Development Association","Government of Kosovo","LPTAP Additional Financing","Loan","1","worldbank.org"
28,"45000000.00","","USD","March 13, 2007","International Bank for Reconstruction and Development and International Development Association","Government of Jordan ","Amman East Power Plant","Loan","1","worldbank.org"
